priority,file_type,file,specific_visual_problem,recommended_design_solution,status
"medium","Markdown draft","src/content/knowledge/health topics/General/liver-encephalopathy.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/low-blood-sugar.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/low-bp.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/low-libido.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/low-potassium.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/lupus.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/malnutrition.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/menopause-hormone-support.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/menopause-symptoms.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/menopause-weight-mgmt.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/mercury-poisoning.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/metabolic-syndrome.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/migraine-headache-relief.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/migraines.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/motion-sickness.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/mouth-ulcers.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/muscle-cramps.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/muscle-recovery.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/nafld-cirrhosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/nail-health-strength.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/night-blindness.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/night-eating.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/non-alcoholic-fatty-liver.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/obesity.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/orthorexia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/osteoarthritis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/osteopenia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/osteoporosis-prevention.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/osteoporosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pancreatitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pcod-pcos.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pcos-balance.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pcos-weight-diet.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pellagra-beri-beri.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/peripheral-artery.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pku.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/plantar-fasciitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pms-pmdd.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/post-viral-recovery.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/pre-diabetes-care.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pre-diabetes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pre-eclampsia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pre-osteoporosis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/pregnancy-nutrition-support.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/psoriasis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/restless-legs.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/rheumatoid-arthritis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/rickets.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/rosacea.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sarcopenia.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/scurvy.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/shift-work-disorder.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sibo-gut.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sibo.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/singers-nodules.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/skin-glow-detox.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sleep-apnea.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sleep-disorder-circadian-reset.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/smokers-cough.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/spina-bifida.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/stomach-cancer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/stomach-ulcer.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/stroke.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/sunburn-skin-aging.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/swimmers-ear.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/systemic-yeast.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/tarsal-tunnel.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/tension-headache.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/testosterone-boost.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/thyroid-optimization.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/tinnitus.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/tooth-decay.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/type-1-diabetes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/type-2-diabetes-foot.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/type-2-diabetes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/type-3c-diabetes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/uti-cystitis.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/varicocele.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/varicose-veins.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-alternatives.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-beginners.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-lifestyle.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-news.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-nutrition.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-recipes.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-reviews.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vegan-travel.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vit-a-toxicity.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vitamin-d-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vitamin-k-deficiency.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/vitiligo.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/water-intoxication.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/weight-loss-men.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/weight-loss-women.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"high","Markdown draft","src/content/knowledge/health topics/General/wellness-longevity.md	","External Unsplash image with uncontrolled crop, availability, and visual tone","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/wernicke-korsakoff.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
"medium","Markdown draft","src/content/knowledge/health topics/General/wilsons-disease.md	","Repeated generic brand illustration used for an unrelated topic","Text-first article until a reviewed, rights-cleared, topic-specific local image is available","Fixed: removed image line"
